bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
Aryan Dutt,7.0,0,52,0,7.42,19,7,1,1,0,Netherlands,45th_match
Logan van Beek,10.0,0,107,0,10.7,17,10,6,1,0,Netherlands,45th_match
Colin Ackermann,3.0,0,25,0,8.33,5,2,1,1,0,Netherlands,45th_match
Paul van Meekeren,10.0,0,90,1,9.0,19,6,5,2,1,Netherlands,45th_match
Roelof van der Merwe,10.0,0,53,1,5.3,27,4,1,0,0,Netherlands,45th_match
Bas de Leede,10.0,0,82,2,8.2,22,8,2,8,0,Netherlands,45th_match
Jasprit Bumrah,9.0,1,33,2,3.66,35,3,0,1,0,India,45th_match
Mohammed Siraj,6.0,1,29,2,4.83,23,5,0,1,0,India,45th_match
Mohammed Shami,6.0,0,41,0,6.83,15,4,1,1,0,India,45th_match
Kuldeep Yadav,10.0,1,41,2,4.1,39,1,3,0,0,India,45th_match
Ravindra Jadeja,9.0,0,49,2,5.44,31,4,2,1,0,India,45th_match
Virat Kohli,3.0,0,13,1,4.33,10,1,0,0,0,India,45th_match
Shubman Gill,2.0,0,11,0,5.5,4,1,0,0,0,India,45th_match
Suryakumar Yadav,2.0,0,17,0,8.5,5,0,2,0,0,India,45th_match
Rohit Sharma,0.5,0,7,1,8.4,3,0,1,0,0,India,45th_match
