bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
Shoriful Islam,10.0,0,51,2,5.1,38,5,1,3,0,Bangladesh,28th_match
Taskin Ahmed,9.0,1,43,2,4.77,32,6,0,1,0,Bangladesh,28th_match
Shakib Al Hasan,10.0,1,37,1,3.7,35,4,0,0,0,Bangladesh,28th_match
Mehidy Hasan Miraz,4.0,0,17,0,4.25,10,1,0,0,0,Bangladesh,28th_match
Mustafizur Rahman,10.0,1,36,2,3.6,36,3,0,1,0,Bangladesh,28th_match
Mahedi Hasan,7.0,0,40,2,5.71,23,3,1,1,0,Bangladesh,28th_match
Aryan Dutt,10.0,3,26,1,2.6,48,3,1,0,0,Netherlands,28th_match
Logan van Beek,9.0,1,30,1,3.33,39,3,0,4,0,Netherlands,28th_match
Colin Ackermann,7.0,1,25,1,3.57,29,2,1,0,0,Netherlands,28th_match
Paul van Meekeren,7.2,0,23,4,3.13,30,2,0,2,0,Netherlands,28th_match
Bas de Leede,7.0,0,25,2,3.57,30,4,0,0,0,Netherlands,28th_match
Shariz Ahmad,2.0,0,13,0,6.5,5,2,0,0,0,Netherlands,28th_match
