batsmen,wicket,runs_scored,balls_faced,matches_played,fours,sixes,strike_rate,country,match_name
Rahmanullah Gurbaz,c Klaasen b Maharaj,25,22,45,3,1,113.63,Afghanistan,42nd_match
Ibrahim Zadran,c de Kock b Coetzee,15,30,52,3,0,50.0,Afghanistan,42nd_match
Rahmat Shah,c Miller b Ngidi,26,46,58,2,0,56.52,Afghanistan,42nd_match
Hashmatullah Shahidi,c de Kock b Maharaj,2,7,5,0,0,28.57,Afghanistan,42nd_match
Azmatullah Omarzai,not out,97,107,173,7,3,90.65,Afghanistan,42nd_match
Ikram Alikhil,c de Kock b Coetzee,12,14,16,1,1,85.71,Afghanistan,42nd_match
Mohammad Nabi,c de Kock b Ngidi,2,3,7,0,0,66.66,Afghanistan,42nd_match
Rashid Khan,c de Kock b Phehlukwayo,14,30,42,0,0,46.66,Afghanistan,42nd_match
Noor Ahmad,c de Kock b Coetzee,26,32,36,4,0,81.25,Afghanistan,42nd_match
Mujeeb Ur Rahman,c Markram b Coetzee,8,5,7,0,1,160.0,Afghanistan,42nd_match
Naveen0ul0Haq,run out (Rabada),2,4,12,0,0,50.0,Afghanistan,42nd_match
Quinton de Kock,lbw b Mohammad Nabi,41,47,58,2,3,87.23,South Africa,42nd_match
Temba Bavuma,c Rahmanullah Gurbaz b Mujeeb Ur Rahman,23,28,49,3,0,82.14,South Africa,42nd_match
Rassie van der Dussen,not out,76,95,141,6,1,80.0,South Africa,42nd_match
Aiden Markram,c Naveen0ul0Haq b Rashid Khan,25,32,32,1,1,78.12,South Africa,42nd_match
Heinrich Klaasen,b Rashid Khan,10,13,15,1,0,76.92,South Africa,42nd_match
David Miller,c & b Mohammad Nabi,24,33,35,1,1,72.72,South Africa,42nd_match
Andile Phehlukwayo,not out,39,37,46,1,3,105.4,South Africa,42nd_match
