batsmen,wicket,runs_scored,balls_faced,matches_played,fours,sixes,strike_rate,country,match_name
Rahmanullah Gurbaz,c Starc b Hazlewood,21,25,38,2,0,84.0,Afghanistan,39th_match
Ibrahim Zadran,not out,129,143,217,8,3,90.2,Afghanistan,39th_match
Rahmat Shah,c Hazlewood b Maxwell,30,44,61,1,0,68.18,Afghanistan,39th_match
Hashmatullah Shahidi,b Starc,26,43,50,2,0,60.46,Afghanistan,39th_match
Azmatullah Omarzai,c Maxwell b Zampa,22,18,23,1,2,122.22,Afghanistan,39th_match
Mohammad Nabi,b Hazlewood,12,10,15,0,1,120.0,Afghanistan,39th_match
Rashid Khan,not out,35,18,25,2,3,194.44,Afghanistan,39th_match
David Warner,b Azmatullah Omarzai,18,29,46,3,0,62.06,Australia,39th_match
Travis Head,c Ikram Alikhil b Naveen0ul0Haq,0,2,5,0,0,0.0,Australia,39th_match
Mitchell Marsh,lbw b Naveen0ul0Haq,24,11,22,2,2,218.18,Australia,39th_match
Marnus Labuschagne,run out (Rahmat Shah),14,28,53,2,0,50.0,Australia,39th_match
Josh Inglis,c Ibrahim Zadran b Azmatullah Omarzai,0,1,1,0,0,0.0,Australia,39th_match
Glenn Maxwell,not out,201,128,181,21,10,157.03,Australia,39th_match
Marcus Stoinis,lbw b Rashid Khan,6,7,13,1,0,85.71,Australia,39th_match
Mitchell Starc,c Ikram Alikhil b Rashid Khan,3,7,8,0,0,42.85,Australia,39th_match
Pat Cummins,not out,12,68,122,1,0,17.64,Australia,39th_match
