batsmen,wicket,runs_scored,balls_faced,matches_played,fours,sixes,strike_rate,country,match_name
Jonny Bairstow,b Shakib Al Hasan,52,59,80,8,0,88.13,England,7th_match
Dawid Malan,b Mahedi Hasan,140,107,106,16,5,130.84,England,7th_match
Joe Root,c Mushfiqur Rahim b Shoriful Islam,82,68,107,8,1,120.58,England,7th_match
Jos Buttler,b Shoriful Islam,20,10,11,1,1,200.0,England,7th_match
Harry Brook,c Litton Das b Mahedi Hasan,20,15,23,3,0,133.33,England,7th_match
Liam Livingstone,b Shoriful Islam,0,1,1,0,0,0.0,England,7th_match
Sam Curran,c Najmul Hossain Shanto b Mahedi Hasan,11,15,20,1,0,73.33,England,7th_match
Chris Woakes,c Mahedi Hasan b Taskin Ahmed,14,11,21,2,0,127.27,England,7th_match
Adil Rashid,c Najmul Hossain Shanto b Mahedi Hasan,11,7,8,1,0,157.14,England,7th_match
Mark Wood,not out,6,5,6,1,0,120.0,England,7th_match
Reece Topley,not out,1,2,2,0,0,50.0,England,7th_match
Litton Das,c Buttler b Woakes,76,66,99,7,2,115.15,Bangladesh,7th_match
Tanzid Hasan,c Bairstow b Topley,1,2,7,0,0,50.0,Bangladesh,7th_match
Najmul Hossain Shanto,c Livingstone b Topley,0,1,1,0,0,0.0,Bangladesh,7th_match
Shakib Al Hasan,b Topley,1,9,16,0,0,11.11,Bangladesh,7th_match
Mehidy Hasan Miraz,c Buttler b Woakes,8,7,12,1,0,114.28,Bangladesh,7th_match
Mushfiqur Rahim,c Rashid b Topley,51,64,93,4,0,79.68,Bangladesh,7th_match
Towhid Hridoy,c Buttler b Livingstone,39,61,70,2,0,63.93,Bangladesh,7th_match
Mahedi Hasan,b Rashid,14,32,39,1,0,43.75,Bangladesh,7th_match
Taskin Ahmed,b Curran,15,25,35,0,1,60.0,Bangladesh,7th_match
Shoriful Islam,b Wood,12,14,17,2,0,85.71,Bangladesh,7th_match
Mustafizur Rahman,not out,3,9,12,0,0,33.33,Bangladesh,7th_match
