bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
Trent Boult,10.0,3,37,3,3.7,45,6,0,3,0,New Zealand,41st_match
Tim Southee,8.0,0,52,1,6.5,29,6,3,0,0,New Zealand,41st_match
Lockie Ferguson,10.0,2,35,2,3.5,43,6,0,0,0,New Zealand,41st_match
Mitchell Santner,10.0,2,22,2,2.2,45,2,0,0,0,New Zealand,41st_match
Rachin Ravindra,7.4,0,21,2,2.73,28,1,0,0,0,New Zealand,41st_match
Glenn Phillips,1.0,0,3,0,3.0,3,0,0,0,0,New Zealand,41st_match
Dilshan Madushanka,6.2,0,58,0,9.15,16,11,0,1,0,Sri Lanka,41st_match
Maheesh Theekshana,7.0,0,43,1,6.14,24,6,1,0,0,Sri Lanka,41st_match
Dhananjaya de Silva,2.0,0,22,0,11.0,3,1,2,0,0,Sri Lanka,41st_match
Dushmantha Chameera,4.0,1,20,1,5.0,17,1,2,0,0,Sri Lanka,41st_match
Angelo Mathews,4.0,0,29,2,7.25,10,4,0,1,0,Sri Lanka,41st_match
