batsmen,wicket,runs_scored,balls_faced,matches_played,fours,sixes,strike_rate,country,match_name
Vikramjit Singh,lbw b Rajitha,4,13,17,1,0,30.76,Netherlands,19th_match
Max O'Dowd,b Rajitha,16,27,50,1,1,59.25,Netherlands,19th_match
Colin Ackermann,c Mendis b Rajitha,29,31,42,5,0,93.54,Netherlands,19th_match
Bas de Leede,c Perera b Madushanka,6,21,33,0,0,28.57,Netherlands,19th_match
Teja Nidamanuru,lbw b Madushanka,9,16,32,0,0,56.25,Netherlands,19th_match
Scott Edwards,b Theekshana,16,16,22,0,0,100.0,Netherlands,19th_match
Sybrand Engelbrecht,b Madushanka,70,82,100,4,1,85.36,Netherlands,19th_match
Logan van Beek,c Asalanka b Rajitha,59,75,108,1,1,78.66,Netherlands,19th_match
Roelof van der Merwe,c Mendis b Madushanka,7,7,12,0,0,100.0,Netherlands,19th_match
Aryan Dutt,not out,9,6,14,1,0,150.0,Netherlands,19th_match
Paul van Meekeren,run out (Mendis/Madushanka),4,5,6,0,0,80.0,Netherlands,19th_match
Pathum Nissanka,c Edwards b van Meekeren,54,52,69,9,0,103.84,Sri Lanka,19th_match
Kusal Perera,c de Leede b Dutt,5,8,17,1,0,62.5,Sri Lanka,19th_match
Kusal Mendis,c van Meekeren b Dutt,11,17,22,2,0,64.7,Sri Lanka,19th_match
Sadeera Samarawickrama,not out,91,107,168,7,0,85.04,Sri Lanka,19th_match
Charith Asalanka,b Dutt,44,66,70,2,1,66.66,Sri Lanka,19th_match
Dhananjaya de Silva,b Ackermann,30,37,57,1,2,81.08,Sri Lanka,19th_match
Dushan Hemantha,not out,4,3,7,1,0,133.33,Sri Lanka,19th_match
