bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name,scorecard_id
Moeen Ali,10.0,0,60,2,6.0,27,7,1,0,0,England,44th-Match,1384435
bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name,scorecard_id
Josh Hazlewood,7.0,1,21,0,3.0,29,2,0,0,0,Australia,43rd-Match,1384434
Pat Cummins,8.0,0,56,0,7.0,22,7,0,4,0,Australia,43rd-Match,1384434
Sean Abbott,10.0,0,61,2,6.1,29,4,2,0,1,Australia,43rd-Match,1384434
Mitchell Marsh,4.0,0,48,0,12.0,8,6,2,2,1,Australia,43rd-Match,1384434
Adam Zampa,10.0,0,32,2,3.2,39,2,1,0,0,Australia,43rd-Match,1384434
Travis Head,6.0,0,33,0,5.5,14,2,1,0,0,Australia,43rd-Match,1384434
Marcus Stoinis,5.0,0,45,1,9.0,4,4,0,2,0,Australia,43rd-Match,1384434
Taskin Ahmed,10.0,0,61,1,6.1,30,6,2,1,0,Bangladesh,43rd-Match,1384434
Mahedi Hasan,9.0,0,38,0,4.22,29,3,0,1,0,Bangladesh,43rd-Match,1384434
Nasum Ahmed,10.0,0,85,0,8.5,21,9,3,1,0,Bangladesh,43rd-Match,1384434
Mehidy Hasan Miraz,6.0,0,47,0,7.83,13,3,3,0,0,Bangladesh,43rd-Match,1384434
Mustafizur Rahman,9.4,1,76,1,7.86,20,8,2,1,0,Bangladesh,43rd-Match,1384434
bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name,scorecard_id
Kagiso Rabada,10.0,0,40,0,4.0,37,4,1,0,0,South Africa,42nd-Match,1384433
Lungi Ngidi,8.3,0,69,2,8.11,28,5,4,6,0,South Africa,42nd-Match,1384433
Aiden Markram,4.3,0,25,0,5.55,13,2,1,0,0,South Africa,42nd-Match,1384433
Gerald Coetzee,10.0,1,44,4,4.4,35,5,0,2,0,South Africa,42nd-Match,1384433
Keshav Maharaj,10.0,1,25,2,2.5,41,0,0,2,0,South Africa,42nd-Match,1384433
Andile Phehlukwayo,7.0,0,36,1,5.14,20,4,0,0,0,South Africa,42nd-Match,1384433
Mujeeb Ur Rahman,10.0,0,51,1,5.1,33,4,2,1,0,Afghanistan,42nd-Match,1384433
Naveen-ul-Haq,6.3,0,52,0,8.0,16,2,4,1,0,Afghanistan,42nd-Match,1384433
Mohammad Nabi,10.0,1,35,2,3.5,36,3,0,0,0,Afghanistan,42nd-Match,1384433
Azmatullah Omarzai,1.0,0,8,0,8.0,3,0,1,0,0,Afghanistan,42nd-Match,1384433
Rashid Khan,10.0,1,37,2,3.7,38,2,1,1,0,Afghanistan,42nd-Match,1384433
Noor Ahmad,9.0,0,49,0,5.44,23,3,0,3,0,Afghanistan,42nd-Match,1384433
Rahmat Shah,1.0,0,12,0,12.0,2,1,1,0,0,Afghanistan,42nd-Match,1384433
bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name,scorecard_id
Trent Boult,10.0,3,37,3,3.7,45,6,0,3,0,New Zealand,41st-Match,1384432
Tim Southee,8.0,0,52,1,6.5,29,6,3,0,0,New Zealand,41st-Match,1384432
Lockie Ferguson,10.0,2,35,2,3.5,43,6,0,0,0,New Zealand,41st-Match,1384432
Mitchell Santner,10.0,2,22,2,2.2,45,2,0,0,0,New Zealand,41st-Match,1384432
Rachin Ravindra,7.4,0,21,2,2.73,28,1,0,0,0,New Zealand,41st-Match,1384432
Glenn Phillips,1.0,0,3,0,3.0,3,0,0,0,0,New Zealand,41st-Match,1384432
Dilshan Madushanka,6.2,0,58,0,9.15,16,11,0,1,0,Sri Lanka,41st-Match,1384432
Maheesh Theekshana,7.0,0,43,1,6.14,24,6,1,0,0,Sri Lanka,41st-Match,1384432
Dhananjaya de Silva,2.0,0,22,0,11.0,3,1,2,0,0,Sri Lanka,41st-Match,1384432
Dushmantha Chameera,4.0,1,20,1,5.0,17,1,2,0,0,Sri Lanka,41st-Match,1384432
