bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
Mujeeb Ur Rahman,10.0,0,40,1,4.0,40,4,0,3,0,Afghanistan,34th_match
Fazalhaq Farooqi,5.0,0,36,0,7.2,20,8,0,2,0,Afghanistan,34th_match
Azmatullah Omarzai,3.0,0,11,0,3.66,10,1,0,0,0,Afghanistan,34th_match
Mohammad Nabi,9.3,1,28,3,2.94,39,3,0,1,0,Afghanistan,34th_match
Rashid Khan,10.0,0,31,0,3.1,35,0,0,3,0,Afghanistan,34th_match
Noor Ahmad,9.0,0,31,2,3.44,36,3,0,3,0,Afghanistan,34th_match
Aryan Dutt,8.3,0,49,0,5.76,25,6,0,3,0,Netherlands,34th_match
Logan van Beek,7.0,0,30,1,4.28,26,3,0,2,0,Netherlands,34th_match
Paul van Meekeren,5.0,0,35,0,7.0,15,6,0,1,1,Netherlands,34th_match
Roelof van der Merwe,5.0,0,27,1,5.4,11,2,0,0,0,Netherlands,34th_match
Saqib Zulfiqar,3.0,0,25,1,8.33,8,4,0,0,1,Netherlands,34th_match
Colin Ackermann,3.0,0,12,0,4.0,8,0,0,1,0,Netherlands,34th_match
